Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein Localization to Cell Periphery (GO:1990778)	7/138	0.019894387320748445	0.6062657316462619	0	0	2.681946958369403	10.506038106009607	SPTBN4;TSPAN15;FYB2;DLG1;C2CD5;FGF13;GPR179
Maturation of 5.8S rRNA Fm Tricistronic rRNA Trans (GO:0000466)	3/30	0.02091912939529668	0.6062657316462619	0	0	5.549319727891157	21.459725799555958	ABT1;EXOSC2;NOP9
Secondary Alcohol Metabolic Process (GO:1902652)	4/54	0.02182806322607372	0.6062657316462619	0	0	4.0010230179028135	15.30214792457297	CYP11A1;FDX1;LCAT;TSKU
Lymphocyte Differentiation (GO:0030098)	5/81	0.022099386479927374	0.6062657316462619	0	0	3.294365721997301	12.558798900172107	ADGRG3;IL11;VCAM1;TOX;HDAC9
Central Nervous System Projection Neuron Axonogenesis (GO:0021952)	2/12	0.022529170402586854	0.6062657316462619	0	0	9.97201017811705	37.82327963447427	SPTBN4;TSKU
Regulation of Leukocyte Proliferation (GO:0070663)	2/12	0.022529170402586854	0.6062657316462619	0	0	9.97201017811705	37.82327963447427	CSF2RB;JAK2
Sno(s)RNA 3'-End Processing (GO:0031126)	2/12	0.022529170402586854	0.6062657316462619	0	0	9.97201017811705	37.82327963447427	EXOSC5;EXOSC2
Positive Regulation of Platelet Activation (GO:0010572)	2/12	0.022529170402586854	0.6062657316462619	0	0	9.97201017811705	37.82327963447427	SVEP1;JAK2
Dicarboxylic Acid Transport (GO:0006835)	3/31	0.022829156798810493	0.6062657316462619	0	0	5.350856413994169	20.224721631050876	GJA1;SLC17A8;SLC1A7
Regulation of Platelet Activation (GO:0010543)	3/31	0.022829156798810493	0.6062657316462619	0	0	5.350856413994169	20.224721631050876	NOS3;SVEP1;JAK2
Establishment of Mitotic Spindle Orientation (GO:0000132)	3/31	0.022829156798810493	0.6062657316462619	0	0	5.350856413994169	20.224721631050876	PKHD1;GJA1;ENKD1
Anterograde Trans-Synaptic Signaling (GO:0098916)	8/175	0.023244132191698554	0.6062657316462619	0	0	2.406102523634901	9.051042017133584	CORT;DLG1;HRH3;HOMER1;PLP1;GRIK4;AGRN;DRD5
B Cell Differentiation (GO:0030183)	4/56	0.024590801811000148	0.6062657316462619	0	0	3.8467440487900846	14.25365929627396	ADGRG3;IL11;VCAM1;HDAC9
MRNA Catabolic Process (GO:0006402)	4/57	0.02604770990057331	0.6062657316462619	0	0	3.773970950152005	13.76678719020835	EXOSC5;RNH1;EXOSC2;BICC1
Fatty Acid Beta-Oxidation Using acyl-CoA Oxidase (GO:0033540)	2/13	0.026282299266696563	0.6062657316462619	0	0	9.06500115660421	32.986266465229015	EHHADH;ACOX3
Mitochondrion Distribution (GO:0048311)	2/13	0.026282299266696563	0.6062657316462619	0	0	9.06500115660421	32.986266465229015	MSTO1;MAPT
Neuron Projection Fasciculation (GO:0106030)	2/13	0.026282299266696563	0.6062657316462619	0	0	9.06500115660421	32.986266465229015	NRCAM;ARHGAP35
Protein Localization to Kinetochore (GO:0034501)	2/13	0.026282299266696563	0.6062657316462619	0	0	9.06500115660421	32.986266465229015	RCC2;KNL1
Regulation of Metaphase/Anaphase Transition of Cell Cycle (GO:1902099)	3/33	0.026924033496203106	0.6062657316462619	0	0	4.9936224489795915	18.050626600698205	SMARCB1;SMARCC2;DPF1
Non-motile Cilium Assembly (GO:1905515)	3/33	0.026924033496203106	0.6062657316462619	0	0	4.9936224489795915	18.050626600698205	DISC1;TMEM80;ENKD1
Heart Morphogenesis (GO:0003007)	4/58	0.027555406702699792	0.6062657316462619	0	0	3.703893151463484	13.302741568209846	ACTC1;NOS3;RBM20;SOX9
